MooreRank,Team,W,L,T,MooreSOS,MoorePR,Season,TeamID
128,CAL STATE BAKERSFIELD,24,9,0,55.78,66.47,2016,1167
144,CAL STATE BAKERSFIELD,25,10,0,56.48,61.91,2017,1167
256,CAL STATE BAKERSFIELD,12,18,0,61.35,58.76,2018,1167
225,CAL STATE FULLERTON,16,15,0,63.27,62.78,2010,1168
285,CAL STATE FULLERTON,11,20,0,62.98,57.78,2011,1168
191,CAL STATE FULLERTON,21,10,0,60,64.83,2012,1168
244,CAL STATE FULLERTON,14,18,0,63.31,60.53,2013,1168
259,CAL STATE FULLERTON,11,20,0,63.41,58.89,2014,1168
293,CAL STATE FULLERTON,9,22,0,62.63,55.09,2015,1168
302,CAL STATE FULLERTON,10,20,0,61.08,52.84,2016,1168
252,CAL STATE FULLERTON,17,15,0,54.36,54.51,2017,1168
154,CAL STATE FULLERTON,20,12,0,63.35,65.56,2018,1168
240,CAL STATE NORTHRIDGE,11,21,0,66.04,61.44,2010,1169
240,CAL STATE NORTHRIDGE,14,18,0,65.5,61.41,2011,1169
299,CAL STATE NORTHRIDGE,7,21,0,64.59,55.3,2012,1169
260,CAL STATE NORTHRIDGE,14,17,0,63.97,59.47,2013,1169
217,CAL STATE NORTHRIDGE,17,18,0,60.69,61.98,2014,1169
240,CAL STATE NORTHRIDGE,9,24,0,63.41,59.37,2015,1169
247,CAL STATE NORTHRIDGE,10,20,0,61.18,57.2,2016,1169
271,CAL STATE NORTHRIDGE,11,19,0,57.25,52.78,2017,1169
336,CAL STATE NORTHRIDGE,6,24,0,58.01,50.11,2018,1169
13,CALIFORNIA,24,11,0,77.15,86.88,2010,1143
66,CALIFORNIA,18,15,0,77.02,77.19,2011,1143
46,CALIFORNIA,24,10,0,72.04,78.85,2012,1143
56,CALIFORNIA,21,12,0,73.17,76.82,2013,1143
67,CALIFORNIA,21,14,0,72.68,75.04,2014,1143
90,CALIFORNIA,18,15,0,71.98,71.42,2015,1143
29,CALIFORNIA,23,11,0,72.59,79.99,2016,1143
69,CALIFORNIA,21,13,0,68.07,70.89,2017,1143
206,CALIFORNIA,8,24,0,69.98,61.72,2018,1143
233,CALIFORNIA DAVIS,14,18,0,62.53,62.16,2010,1413
252,CALIFORNIA DAVIS,10,20,0,63.47,59.93,2011,1413
319,CALIFORNIA DAVIS,5,26,0,63.87,51.7,2012,1413
236,CALIFORNIA DAVIS,14,17,0,63.12,60.85,2013,1413
310,CALIFORNIA DAVIS,9,22,0,60.44,53.38,2014,1413
129,CALIFORNIA DAVIS,25,7,0,61.43,67.55,2015,1413
233,CALIFORNIA DAVIS,11,19,0,61.42,58.52,2016,1413
232,CALIFORNIA DAVIS,23,13,0,56,55.9,2017,1413
189,CALIFORNIA DAVIS,22,11,0,58.8,63.16,2018,1413
254,CALIFORNIA IRVINE,14,18,0,62.17,59.92,2010,1414
233,CALIFORNIA IRVINE,13,19,0,64.04,61.94,2011,1414
256,CALIFORNIA IRVINE,12,20,0,64.15,60.16,2012,1414
186,CALIFORNIA IRVINE,21,16,0,64.74,65.16,2013,1414
128,CALIFORNIA IRVINE,23,12,0,63.82,68.87,2014,1414
97,CALIFORNIA IRVINE,21,13,0,64.87,70.39,2015,1414
110,CALIFORNIA IRVINE,28,10,0,63.27,69.23,2016,1414
181,CALIFORNIA IRVINE,21,15,0,56.35,59.14,2017,1414
187,CALIFORNIA IRVINE,18,17,0,62.53,63.38,2018,1414
242,CALIFORNIA RIVERSIDE,12,17,0,64.52,61.34,2010,1415
259,CALIFORNIA RIVERSIDE,12,19,0,66.17,59.35,2011,1415
268,CALIFORNIA RIVERSIDE,14,17,0,64.01,59.14,2012,1415
312,CALIFORNIA RIVERSIDE,6,25,0,63.47,53.15,2013,1415
278,CALIFORNIA RIVERSIDE,10,21,0,60.87,57.04,2014,1415
219,CALIFORNIA RIVERSIDE,14,17,0,63.38,61.2,2015,1415
246,CALIFORNIA RIVERSIDE,14,19,0,59.04,57.2,2016,1415
265,CALIFORNIA RIVERSIDE,7,21,0,60,53.42,2017,1415
300,CALIFORNIA RIVERSIDE,9,22,0,59.44,55.25,2018,1415
152,CALIFORNIA SANTA BARBARA,20,10,0,66.19,69,2010,1364
147,CALIFORNIA SANTA BARBARA,18,14,0,66.12,68.61,2011,1364
121,CALIFORNIA SANTA BARBARA,20,11,0,65.84,71.38,2012,1364
238,CALIFORNIA SANTA BARBARA,11,20,0,66.59,60.83,2013,1364
154,CALIFORNIA SANTA BARBARA,21,9,0,63.68,66.87,2014,1364
125,CALIFORNIA SANTA BARBARA,19,14,0,65.72,67.95,2015,1364
114,CALIFORNIA SANTA BARBARA,19,14,0,64.59,68.88,2016,1364
297,CALIFORNIA SANTA BARBARA,6,22,0,59.17,50.85,2017,1364
178,CALIFORNIA SANTA BARBARA,23,9,0,58.04,63.94,2018,1364
201,CAMPBELL,19,11,0,60.61,64.84,2010,1144
277,CAMPBELL,12,19,0,62.62,58.27,2011,1144
267,CAMPBELL,17,15,0,62.82,59.18,2012,1144
295,CAMPBELL,13,20,0,61.45,55.52,2013,1144
320,CAMPBELL,12,20,0,58.4,52.13,2014,1144
311,CAMPBELL,10,22,0,58.32,52.37,2015,1144
306,CAMPBELL,12,18,0,54.14,52.13,2016,1144
275,CAMPBELL,19,18,0,53.2,52.53,2017,1144
185,CAMPBELL,18,16,0,59.42,63.55,2018,1144
192,CANISIUS,15,17,0,65.69,65.33,2010,1145
165,CANISIUS,15,15,0,65.61,66.9,2011,1145
306,CANISIUS,5,25,0,64.78,53.85,2012,1145
132,CANISIUS,20,14,0,67.07,69.13,2013,1145
138,CANISIUS,21,13,0,64.42,68.24,2014,1145
143,CANISIUS,18,15,0,63.53,66.53,2015,1145
224,CANISIUS,14,19,0,63.34,59.28,2016,1145
154,CANISIUS,18,16,0,61.32,61.3,2017,1145
128,CANISIUS,21,12,0,62.9,67.4,2018,1145
327,CENTENARY,8,21,0,62.98,51.48,2010,1147
342,CENTENARY,1,29,0,62.91,43.35,2011,1147
302,CENTRAL ARKANSAS,9,21,0,60.6,55.09,2010,1146
339,CENTRAL ARKANSAS,5,24,0,60.51,47.91,2011,1146
341,CENTRAL ARKANSAS,8,21,0,60.25,46.64,2012,1146
322,CENTRAL ARKANSAS,13,17,0,58.27,52.08,2013,1146
335,CENTRAL ARKANSAS,8,21,0,58.03,49.28,2014,1146
348,CENTRAL ARKANSAS,2,27,0,58.97,41.08,2015,1146
335,CENTRAL ARKANSAS,7,21,0,58.57,48.13,2016,1146
312,CENTRAL ARKANSAS,8,24,0,58.46,49.61,2017,1146
242,CENTRAL ARKANSAS,18,17,0,59.74,59.89,2018,1146
276,CENTRAL CONNECTICUT ST.,12,18,0,60.09,57.87,2010,1148
211,CENTRAL CONNECTICUT ST.,19,12,0,61.29,64.03,2011,1148
